Radio Elka	live.elka.pl:8000/elka.fm	0
Radio Pogoda	radiostream.pl/tuba139-1.mp3	0
Radio 7	137.74.5.240:443/	0
Radio 5	streaming.radio5.com.pl:8880/radio5suwalki	0
Rock Radio Polska	radiostream.pl/tuba9004-1.mp3	0
Twoje Radio	51.77.59.65:8100/stream.mp3	0
Vox - Disco 90	waw.ic.smcdn.pl/6170-1.mp3	0
Bon Ton Radio	streaming.inten.pl:8022/bonton.mp3	0
Radio Freee 89.9 FM	streaming.radio.lublin.pl:8000/rf_mp3	0
Radio Jura	stream2.radio90.pl:8000/jura_96kbps_stereo.mp3	0
Radio Kujawy	radio.kujawy.info:9940/;	0
Radio Łódź Extra	217.113.224.171/RadioLodz-2-HQ.aac	0
Radio Plock FM - RPL FM	stream.rcs.revma.com/6qvcy46wmc9uv	0
RADIO-80.pl	s0.radiohost.pl:9305/;	0
Radio 40plus	s1.slotex.pl:7178/listen.xtl	0
Radio 357	stream.rcs.revma.com/ye5kghkgcm0uv	0
Radio 80	mp3.radioslupsk.pl:9305/stream64	0
Antyradio - Ballads	an01.cdn.eurozet.pl/ANTBAL.mp3	0
Antyradio - Classic Rock	an01.cdn.eurozet.pl/ANTCLA.mp3	0
Antyradio - Covers	an03.cdn.eurozet.pl/ANTCOV.mp3	0
Antyradio - Greatest	an01.cdn.eurozet.pl/ANTGRE.mp3	0
Antyradio - Hard	an.cdn.eurozet.pl/ANTHAR.mp3	0
Antyradio - Made in Poland	an01.cdn.eurozet.pl/ANTPOL.mp3	0
Chilli ZET Deep	ch.cdn.eurozet.pl/CHIDEP.mp3	0
Chilli ZET Jazz	ch02.cdn.eurozet.pl/CHIJAZ.mp3	0
Chilli ZET Ladies	ch03.cdn.eurozet.pl/CHILAD.mp3	0
Chilli ZET Soul	ch03.cdn.eurozet.pl/CHISOU.mp3	0
Disco Party - Polo	s3.slotex.pl:7170/stream	0
Radio Dobra Nuta	s3.slotex.pl/shoutcast/7100/stream	0
Radio Doxa FM	81.210.92.213:8000/play.mp3	0
Radioe F.Pl	radioef.pl:8000/stream01.mp3	0
